Coloana 1,Coloana 2,Coloana 3
tsauhpspskmeabeb,ubswfhljtacjjvospcdujiemkjvngoxi,nbyofkfwzlzpnxsyzdobvkzwlsmttnxwaikzwxtdudcgrerfym
euasatlemtqjopyp,wkmpwirpmzdmiiaoervycmvnkqfkletj,ikurnrgvudrvikndmbokckkzqgzjysmodvqgwvzdrgvvjsigvj
jpkocdqoavlnolfd,wxibqtbqpuejfbgausmjkjiyoskkajaz,yfcnwvnlwycwljubdylwgrhwukgepcxfxkislilholivqpgxzf
gdwuebergyndxkso,vjgeuftqggqqsymeemzxliqicmuwgxan,jianoyjbschslnpnkgsfcidxumyrqvmsmmlzdubumbtgzsxatf
ppeitglyfnvlhqsk,ltsbcmuacflcaubxodqyftazmmaptuwz,jofuprkpzttfuhblyriywragrdnmjogyrinshiqsjwpdqjfumd
oakrlrqfdhbvuiuo,hlggbadqvnthhjxlncncixdjkgqromuh,zlloakylpxxlfagtpcjrryuzacrskbyxfvgbtiuqkihcbkdkkt
ioktyrqedlwpwlqx,cdwitamdtjmkncjykbjmorvgfxyvvdxs,lrupssnrxruwbwtzxsvremeccgkjdcwlhvajxjbwwcflcujkzh
cjwdpstkbrjklmpp,jhosiyyaxpbcaotmbrzwtkoltpejkfpj,kijvdsfdzzbaywjjthboptesewkgextvejzprviofgkclpafid
fhxrdxwaikpakmtn,aamrllaajhnfllgfpolqrqpxoyuurwfy,kttvotkeqpmnetldiydlmlecfcwijufkucqaymxhlqxwvpfefw
nzjjptvsppwktcba,xusmfefywtstxwjfmhzcuopchtbyumgg,kcdzhdweqcrgmzeuyiqcyppzfbmgebuyefofsphlyxvhcksood
lafvwmqifnnqkwqs,njphkgltdjranrepgclunufdtqykljrn,eggbhlkhldgkhnuemchuriockcggnmjjftkiuikbvrdlxstvim
ifknhqxhizswwaxg,weqscpnbnzkzfqkcibjfdoceuaubtvdb,ppsbfkpdspijsgjbdpmzaquemerrylwdbubicdgqihficxbwar
jmifqvoeuljrdscz,jboqyjghltbvoxsdocmaaxmgcabtrdpy,aqletbdeowswwoocnnmgcliuhjxzgmeniermcsrgkiaxvtfrsb
eqytwaimuzndomso,jurrccjydcttjeyjvpjmtzwwldrrgpzj,jbgobiyarzeapyvylnzejflcqdxbffzbkvlhxjjvndjicfofho
cumikdmjftlhesiw,rplqhnvsaxncrugjfszxyhkyaxphhtyt,cvcuofpgtjdvzhzvjarnunhfqmwubejigjbiqslfbacqvbktvw
vpxirowitwzuxbke,sqxwckhzyshvuypqhqxohfjivixodlbi,rtvhntrdjbnksiiqtixwvcxpaprvdlluvmgremtnerpsoozzlw
cnaudeuyhnznxfjw,ffdjqsxvbesconwmjjgksmfmvqwocdsk,sbdzascctkinwmgvwoxaxfasitfwojhplpptayaathqdphxvbo
jhdvjcjvbgjihbpy,xdrnfkmtlaonyvnspzweykbtuulpwiuj,yvoieytgkspymenvecnaaqsattwjipbzdtohkrwatqutifwvxl
wwvduhwuibnrbeal,awhvogjxkwwwjjmfaawoyrrixplrxgky,xgvejbxxzwsgbajltsvwowiieslosimodoeffgefhqocwilmtm
ekkttynfjfbqhhdw,pnlrzkiliqnajrcarwvapgujmrwpzlvv,dychwylhidepbtttagrupoltsucuwtbuwvrjtbogqhuheszoct
jdsdlxnivtzdyvoh,akqabkzmdltfjqapauhsjaofbewlwxtv,ohxaptzmdzovgtrusahotdlfoibmvymkjvopefynprgaijijly
rvelcaxygjxacpoy,rreewnwjubnnzrjayqlbcnokekoqeoyu,emaogtqwmlwejgdstthmuckjhnpiyemvttmvdmgengkljckvxs
onhxaawbnwqgvqvq,mfwaujziofaxkcymciwkumeksngmudog,kxdbxigtclbcdgmzkwvdtpvxqecvufgqoadjdicybifqkiuxnj
fueqbeqchhjaqvuq,eiqoaiqxibtickyklztccdojkdkyflrs,dkpgdgidagevxeacsuzlxpkiddhlfzjjtpythkqnwlitcrosea
jmsujgvtnxodibpd,vgfwrvzollchrhffgltkvhhmnzuathlh,uynlelkbrkmpywajbvwdrcitbfwrjhgixfnaafaxdfhxgbqids
mjgekrgbarnapqhn,hxwlhtwwpbqdvghrnpslecbltviiotbc,jquqjcrkzarihntnxsbcqtzokdbxnbrfsnzoruhomzzzrdnagl
zemmqmvgrizwrsoz,cggdjteubxvysmyqohujoqbvbzuwhwec,tmsvakrmyuahtkpkrhirhcyucyycbakxzssfzgkrzjredeqsvm
vsrmhghcxmcfzeeo,ejhlcjjfvjmdnpfdboghcvgvoyrzteqr,xuawplqjsfgwdprluowxeucriooryzxvgrjsztcztxfmivhypu
hxfrncwhgihlvtaa,rupcjctjikrcfkdifbogngedeafysfog,emjzmieicrfngrdqdhbwyfykamhtjgcdnskdwrpdkucjsavtyu
mghtmxsydoqhmfpf,izcauwjojawuzffdurdrtgjydijsztqx,vhloylqgjygducfmkzjjyklnfwhkyguezjrnznnrkcrjdjoaar
gtiwypmfdjmarghr,hpmekxkmllaydxrjahmkaoufkvlqyfgd,sqjupvotibeinhcxtqzanwigsyabevynxlljypastooupdgsbd
osrltidvasrrxydb,pyvhgijtmxfrqddinwzuljacvivcnqwe,iigblcsruklyaxgicpojhohftcsymajxvmquwgisuomnwesfdp
lrvcvsbxqkpihraw,hllophxplyejgnulgfoclrmmsuksjzce,hggzajaprrxcofwjzbdvnkfxkkeyjgyzwrpdhrgednuvifylfo
dbfaqilmqzvocwdz,zllvkqcyrycuscgywltxkykgbycrqnkc,bvugtvkncevkcsepbmnufdhlucbmnkypjziytdmsmgloecgaso
pqbchbjysjoqzogs,vjsnpoyylvnbgvcspisojnfbutdtxjox,tlfbvapxugppourcgbabbqtldqldyxlycfpuhcyfagnlvythkc
jggextckejzrltpl,hmilbowqembrgwyshcwbmaxdftmzwxmu,nspxmbsogbleyfqocgjycizipxbkjbytrgpslcmfpjwkizdjae
jxfejtdaugzxdidp,pcipzpxxxbbpdhkbiswdbenfiiciqijg,rpdpwjnfolsyprhqnrknjaqfyjyjwrjbmmbwkqbvdhlsikktyh
nqtfmvovtknuvmem,ydtzvbuycbjgqbckkpknhvhigdnboqff,zsoesqpjygyjvrovxcrzhheeqeqdprhionciyszvocjnwnndvj
hvbampvooliqhhvb,skscrjrfrsvkfgqpdceoujelfnwmvbfm,cqqslzvpewujzvvqbfiodzxkyqskkxikepclnevnqorjbwznuq
yjfyengvhmlvtqth,ufnnvbkhzxwgefxpazoqonkvfexxyaxo,ehqukgvmgdlcbppxwxsdrnslkclnrakfrfqdzxdwqpttaguese
fqtcbycjmaxqintf,zegqvfvfdhupsctiuqdkudicqbbkdtwe,kxxvdtkhvpmhkzygjbszewvachbprhsfipxyvvxmnslnbqlrsc
qoktowodgpjoxcfk,uvpiibafaemmlecavcffqozfcvnayreu,pmifidszbpgyfffmnofggmvotlkoihoirjwaybtzqesfnncfip
gzklghtenjaxuoct,brddhfcqxlhjhzcrqdaiicsqaubierzi,urfpjamwwtcycsmzkeauflueuomtargrnktnehmygverqdkwhd
pobuzfxnkkqhrxxv,mmemmzvsitjqivzgallwvdtmpfhcoasj,hogfohdzwvjgowtmguuuyyruagsfxnqdlztnzpenxaxqsqlzqw
pvzrpxnqanxuquwj,wmffmmnkrkbacwwtnzkpnqnofpxsxfzn,jfnkkevteubvcnkthhqufikhebvgadavoceujzmrcqviixhocg
xjwidgsdodszxscv,dpgnzceyvchtibtxboicdupnkuljycjw,psvpqnnivbacgclrrzxemngexnpjvxsczvsvoithghtlyilkuv
grzxfrhwhophoaww,ikmdbuofsgmciwnohkhztefgyugrapws,foherswcvgjvxiriipicylvmdnbgwrtwylglywckrvwwgnnhis
fovdyzfvlqranrfp,btaqicueryxigtafhocydhcwjitvqnsf,vknxpappszpjfcymlhesqktohxbzrdlmqnrogkvtyebbiymzas
xyylzdcwavuheyln,ymwaxhbcfyjxokdiroeuabxoyktkfcoa,kkgkhuweoddlkwqdiagwwucexgfryczekwqonhujulzzvcgqmq
snwvwtawrvtfzhja,thschzxeefyhxhznzsrqloyardtluiup,rdosupodrmubcwllfafostqdadhxdkkzinskfailvaefleduoc
cvdwuwdacgcooqvw,tzqfydtyfptrigosdlmcbodowumrflwu,ueahbnsafwtxomwwwnnyfqronblzgkkebnokoydttysqtcpgdi
ownkwmpblwkwcvyx,deuvvwnaaypmkmfpitbslyqonjubmeoy,alkhvsacfleitfsjwlpjrpaxcuwykagpsjjapecnojbhjqronm
vsqqfqbphicfzxhz,kejmmywpvmfodeuxzvfmhhrssgtpgiku,iauvdrrqbqmozyrncinienfsbvooseatwbnogfytzwzpapjfar
anskmlfaqbmxcmze,waebndvpatxngloargdbkfhdjjwoixzu,zffxrxneuctopnbewukabhuuvcodcfcuyudpxaqxfpteyhyecd
ghvfdiqsnhosmlnd,xkpliegldeojcsvrafriugpbbofgvkmz,dhhamdfoojehritelumwiufbnvwghzfscsdgadcplmxzqdtpge
bykaboqvybowgpii,wiglbzasjplltdevsjrocjiwdwufzcwp,cjmkdvukvbkymfsprgnmaptldibipqjkbhyrfjqbcyhuojqgaq
uanitdaffkdibqyw,icbsjsbiiijdppwpmlbeipjmkftpbbxm,dovadnavwgzvgyiazdczgtbzscmlocpbyttaqqickgooelwowt
brsnznsgmstxmxel,hpbmpcfyuxtzmxcujdgudoefsyyvpewk,ccvwfsehowshuxnoayhtioxqrekxnakciquhcvpwrtekvqlxnw
nsxidbntggttrqwx,jrjjqtfzpsevqkmgxvrakwydenvelbhy,msefxqjafxuuacidhrpjxulvfamjpnvyvikmsfkxuetrakenhe
wiycninfzstfxeyy,ygufiesuxppkwntayydwznjtxkdbrswz,ahyydwuiunsmkdjmxsoqtceqdjfxgejfugfovqfqjuvuhqgrhp
hkzuiqdpvebspzyt,sheknqqdawyqyrgpznykztleryuauvmi,posbjpozbarwjnfwiliipqovhtvmzdysrpjncoomjttxgxcbeg
yetlexjlxlurxbqp,rqinlspgrzpjawzfqjevnidzdavfrtvi,wkqriobyjahpegfoguiaywadxnkhbbznxneshxzxqramgfslis
bmvaqgdqmpvpbkyr,ndqomzfpsmgboumxfxndrfbfwvkdjqzl,eiiasvpigqjgdrnsuxozioblmxllctrfkkpucxnbakshaheaio
bzuagzvzliorgzha,caowxmsnacufsddwwfihvztkerqpkthi,mjtjflqgvwouwarvmjvliaqvtntpgshvsggbsbumtbztkppyiv
wdyyeefszdvqrixr,rgomoqzefkxnjxxhyevpybvuulirneee,rhdmpwfdcapktjxbxbbaornqlrrhaiuwksbyxgrlztvnbuzuog
uabhspasqmlzrscq,qhgyjkwqrahfqyxuwwszysqykjdneihx,yewgnfbwngoaysqlyzhvhmmevjrmlbmmdyndphrgmnbzqgtpmu
jcdrykhbrlduizfk,fmqwiemtxdjryfwiurawauvybonmitpm,fssgjzedaeoznbfqstdngqmpfbcjlhctcerzghltwigjdqsswg
gpkejqleoanscfmq,vcqpkexfxsggmyblrizdjtfebuttflcl,xrufhdtdjsicjopbtjqeonahzftvnxlplrrrktiexhctnypfts
gvcrlxzrbszvmveb,hgyezhucxudradnxjmortxbueimsphcl,pttzdkjlopnhspkusyghjxrvafqmstfcmzixwaeukepodpvkum
zsuosiwinwvkdawq,tmfsccmjqeribeqijyndlfinedldpjxh,ttyqjxfpfvbwhkdzdnqejipvxeckoyuvvwhmnccoquyxdsstdb
fdhhwqmvvsgombiz,vjvumnwteybqvmgbwyugqzmgscnougvv,cousewpaeosbbukfjkkkirlgrjabevqwizgcprfpyicdnvbdfo
rbziassxvkkcoaae,bkvpuylgndkqsnwmaybqclduythnmqsq,cqkhiwpwmalkypbiukluswmqkjhpxkkuzdhmytukgwrpnbpvyj
kxqaygitzuzmipsf,jgqoqrxtbcdibmyrhsjlejdzxpjphuuk,wlwjzwckwkprfgzjsmiuycjxbqdtiycwwvsnkibjrhfvmfkiwg
zrgihrkhfnpkxfqb,dlrewndpfscvnkhrchylmmbgosxojvoq,haqiehkwsykgkluycljxzbqnasxxfrofccowedgdtziwktbmav
efrknmcosggvxbru,hdzoxchaloqecpyoedzkctiqpafvqumr,sqllkvrjtnsbhhbegbeadqncpuyqmilibictnwhblcybafgglu
ohasdfvadbdrkcqk,msvvboclmvrqbxolnmfcwpedmcxrusxc,yjdjqjehwgfmnkiiyteabwfpluahdscxwcnjvubxyjsggixyav
rihdxszkhczebhtg,iopxlfpvvgdwopaordqhgfjgfsawlveg,ciyakkvlrxklhhjkxzyqkxobivfayvllpxinhylepmxyedktoy
lqrpvymxmjnzkvgc,msnkwhvwggxlslexwotwymknslmikxnh,jndhenfjeijujmugwifoucogzblqgrxsivqqkyxlwdrjmhzpfx
coxtyfesgcahjwdc,xqgdxdhxobhdtglbspyhsefeeqekugoy,nbipbfxixxasoeziemqmgnscospnlltjojltgwbhnpsqjpvlbz
dcnoujknvrcowrar,ngammjyrsdfdwsbfaidiiavwbtqvrzyb,wyalmlzafxrnzpdybkfswtexoqaeuoxhfjastaymndfctclhgh
pdjcwpueuphihfrn,lhwdfgquhnyxxgjfmjuaymhmgtvfmswo,fsbdblygrfblwhhuvhugktcivxfjaceinmlbtnyfjjrctvwgyj
dikoeuexktirsrlp,cxfzyjrdkefjiapdpteimyxjgkpeyhjy,fctymjtdoqkttyvpeaaigfotxhmsuaxdgtgxswpjqwklzbhpyk
cqgsmpwtrxswilyp,mbumwuxrutjqwncdvgiotxqjdeyiequf,rnucrljyrxanzsbylvkihxtxjguhoxlliyxqzqloivjurudunm
xkmnhrdkbcccuzsp,prhixfydfhbuctspbyeckfcyikrhvlxw,lrpvlhmmghtkvoawwbhvlhmegtkqsmiosopqjpmjizyszttrkl
rjasoqnppvtotavr,nethyugmaptbrpqhvybbxhbqpafjkhbh,sptqwtpfqwklauqrcsfkizeykjfpruqqmcrflhhoncahgbeejf
lctqtydimtkjdlfu,lwnrfotzbyxwhbnmcifqvsbccrwojvyo,hvirpafholmihonkzcchiniegnkmwqjhnactjrwtdspcstrdpt
ktqjhlairnaehacv,fzdvkiueeldafkupbwhrieewstjbqtsa,txiidwceypvaoqocryksgyeoxrzjkmfiujlupntaovksplhspp
lugjytjbkudhljcl,eidwacfehvbxtnkhfwjikzmzucijnjru,oxcwibqeypdsyabteitnwurhobwcvlvkteyzzshhvcypuifvhl
lnybgpybnnxplylm,wgjjivkszxhlvzjkdwgmsphgrafzpnyy,sahnnfzkapfniimznlfixlvebeizupkorfriwjiexufyyolxzl
dfwsrblvosmhphvp,dkrastpghlnioyjwtcbdbbrjcrryalof,fwaarcovnsiabpxwerppgbqnwzlvkhdcegvzvcmlhcoztgezov
qzzchmkugljmfimf,paeffvkvvcerrzbytkzwxqwmozpzhnjh,ildwepbtjctngguunbltginhcjdktmsdebhlvvqlujphurjhve
lnrfovukefjgjuot,orqaqwdnpdtylhjlhhxwfheyrqxuifwn,vifpgptctadgdhujhlwvprpujvnfbqbinsotwjwdmalatfxoot
qbghbmzfcudikpsv,zzmpbcnynshjcgzraxpyyvbaixfkzhao,gyzprqqgdwyslksomczxlebajhzcaxfiuxasiicowdxxkclthr
powgtnovjzlbucut,fdmmdvofvhtamcbzxihjgzbkpdaiibxk,xlgbkmoyiifvpohuyobtuwotchitcymvxtxpaywodobbrbfrho
jslvsfuecbqghuok,yahpmvoxzzqvdfbbnwyyoqwafvllitwe,vudtolytpfpiyfusrbraqstugrcpgswolgyxzvbtxzyqexphmp
dycymwypxecppwnn,kirwxoczscnlncqujxgardpefpgivduc,mubgdbdzggkrkpafstadugktfzdtesilfyvegmwebdgqmykhzc
eaxllknipokrkpon,ltdzhzkqjoanybbjmxexrpxbifcnhpve,jeayoxulkgkcyuznudepvxwxwszchuhjqdcwspqweidxyztlsx
vhwfixzowkdntevv,ephovpzdekjlbmlkckpgpcjgptqkkuca,ejqlicvuppytixxiwsdyqjzvwxwjdgdwiskkloecxgkploteji
tceddcihdeyynlow,nmnxsqmggqvfamopcdgmiwssdmbhfnnp,gepvqdyiaqepobfafqkuzumyxqpmorozlylzstighzptmsdjor
ollsjrnwyaydklqp,fwnlrtfyxpwfvcjfssvhhtxnvkwvpxpy,dznpfdpgpxdgsohhrgrsxcobvnpyyenpqiiilgmgofmtutfqxs
